"title","body","labels","milestone"
"Editor-001: Create `EditorApp` executable target and startup sequence","Backlog ID: Editor-001
Priority: P0
Estimate: S
Dependencies: -
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Create `EditorApp` executable target and startup sequence

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p0,estimate/s,committed","Sprint 1"
"Editor-002: Add editor service container and lifecycle wiring","Backlog ID: Editor-002
Priority: P0
Estimate: S
Dependencies: Editor-001
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Add editor service container and lifecycle wiring

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p0,estimate/s,has-dependencies,committed","Sprint 1"
"Editor-003: Integrate ImGui docking bootstrap and root workspace","Backlog ID: Editor-003
Priority: P0
Estimate: M
Dependencies: Editor-001
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Integrate ImGui docking bootstrap and root workspace

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p0,estimate/m,has-dependencies,committed","Sprint 1"
"Editor-004: Implement project open/create/select startup flow","Backlog ID: Editor-004
Priority: P0
Estimate: M
Dependencies: Editor-001
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Implement project open/create/select startup flow

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p0,estimate/m,has-dependencies,committed","Sprint 1"
"Editor-005: Persist and restore workspace layout presets","Backlog ID: Editor-005
Priority: P0
Estimate: S
Dependencies: Editor-003
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Persist and restore workspace layout presets

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p0,estimate/s,has-dependencies,committed","Sprint 1"
"Editor-006: Build `PanelManager` with panel registration and visibility state","Backlog ID: Editor-006
Priority: P0
Estimate: S
Dependencies: Editor-003
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Build `PanelManager` with panel registration and visibility state

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p0,estimate/s,has-dependencies,committed","Sprint 1"
"Editor-007: Implement input focus routing (modal/panel/viewport/global)","Backlog ID: Editor-007
Priority: P0
Estimate: M
Dependencies: Editor-006
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Implement input focus routing (modal/panel/viewport/global)

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p0,estimate/m,has-dependencies,committed","Sprint 1"
"Editor-008: Implement `CommandBus` skeleton with transaction boundaries","Backlog ID: Editor-008
Priority: P0
Estimate: M
Dependencies: Editor-002
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Implement `CommandBus` skeleton with transaction boundaries

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p0,estimate/m,has-dependencies,committed","Sprint 1"
"Editor-009: Implement global `SelectionService` with history","Backlog ID: Editor-009
Priority: P0
Estimate: S
Dependencies: Editor-002
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Implement global `SelectionService` with history

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p0,estimate/s,has-dependencies,committed","Sprint 1"
"Editor-010: Split and persist per-project vs per-user settings","Backlog ID: Editor-010
Priority: P0
Estimate: S
Dependencies: Editor-002
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Split and persist per-project vs per-user settings

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p0,estimate/s,has-dependencies,committed","Sprint 1"
"Editor-011: Add runtime reflection metadata registry for editable properties","Backlog ID: Editor-011
Priority: P0
Estimate: L
Dependencies: Editor-002
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Add runtime reflection metadata registry for editable properties

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p0,estimate/l,has-dependencies,committed","Sprint 2"
"Editor-012: Implement inspector widget factory from metadata types","Backlog ID: Editor-012
Priority: P0
Estimate: L
Dependencies: Editor-011
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Implement inspector widget factory from metadata types

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p0,estimate/l,has-dependencies,committed","Sprint 2"
"Editor-013: Build Scene Hierarchy panel MVP (tree, select, search)","Backlog ID: Editor-013
Priority: P0
Estimate: M
Dependencies: Editor-006, Editor-009
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Build Scene Hierarchy panel MVP (tree, select, search)

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p0,estimate/m,has-dependencies,committed","Sprint 2"
"Editor-014: Sync hierarchy, inspector, and viewport selection state","Backlog ID: Editor-014
Priority: P0
Estimate: M
Dependencies: Editor-009, Editor-012, Editor-013
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Sync hierarchy, inspector, and viewport selection state

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p0,estimate/m,has-dependencies,committed","Sprint 2"
"Editor-015: Implement viewport camera controls (fly/orbit/focus/bookmarks)","Backlog ID: Editor-015
Priority: P0
Estimate: M
Dependencies: Editor-007
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Implement viewport camera controls (fly/orbit/focus/bookmarks)

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p0,estimate/m,has-dependencies,committed","Sprint 2"
"Editor-016: Implement translate gizmo with GA motor application","Backlog ID: Editor-016
Priority: P0
Estimate: M
Dependencies: Editor-014, Editor-015
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Implement translate gizmo with GA motor application

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p0,estimate/m,has-dependencies,committed","Sprint 2"
"Editor-017: Add rotate/scale gizmos and local/world/parent spaces","Backlog ID: Editor-017
Priority: P0
Estimate: M
Dependencies: Editor-016
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Add rotate/scale gizmos and local/world/parent spaces

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p0,estimate/m,has-dependencies,committed","Sprint 2"
"Editor-018: Add grid/angle snapping and pivot modes","Backlog ID: Editor-018
Priority: P0
Estimate: S
Dependencies: Editor-017
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Add grid/angle snapping and pivot modes

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p0,estimate/s,has-dependencies,committed","Sprint 2"
"Editor-019: Wire transform/component edits into undo/redo transactions","Backlog ID: Editor-019
Priority: P0
Estimate: M
Dependencies: Editor-008, Editor-012, Editor-017
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Wire transform/component edits into undo/redo transactions

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p0,estimate/m,has-dependencies,committed","Sprint 2"
"Editor-020: Entity create/duplicate/delete flows with undo support","Backlog ID: Editor-020
Priority: P0
Estimate: M
Dependencies: Editor-008, Editor-013, Editor-019
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Entity create/duplicate/delete flows with undo support

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p0,estimate/m,has-dependencies,committed","Sprint 2"
"Editor-021: Asset indexer + file watcher + import queue service","Backlog ID: Editor-021
Priority: P1
Estimate: L
Dependencies: Editor-002
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Asset indexer + file watcher + import queue service

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p1,estimate/l,has-dependencies,committed","Sprint 3"
"Editor-022: Asset Browser panel (tree/list/grid/search/filter)","Backlog ID: Editor-022
Priority: P1
Estimate: M
Dependencies: Editor-006, Editor-021
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Asset Browser panel (tree/list/grid/search/filter)

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p1,estimate/m,has-dependencies,committed","Sprint 3"
"Editor-023: Drag/drop import entrypoints and import job UI","Backlog ID: Editor-023
Priority: P1
Estimate: M
Dependencies: Editor-021, Editor-022
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Drag/drop import entrypoints and import job UI

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p1,estimate/m,has-dependencies,committed","Sprint 3"
"Editor-024: Import preset assets and deterministic import hash model","Backlog ID: Editor-024
Priority: P1
Estimate: M
Dependencies: Editor-023
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Import preset assets and deterministic import hash model

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p1,estimate/m,has-dependencies,committed","Sprint 3"
"Editor-025: Reimport flow with before/after diff preview","Backlog ID: Editor-025
Priority: P1
Estimate: M
Dependencies: Editor-024
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Reimport flow with before/after diff preview

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p1,estimate/m,has-dependencies,committed","Sprint 3"
"Editor-026: Dependency graph service for asset references","Backlog ID: Editor-026
Priority: P1
Estimate: M
Dependencies: Editor-021
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Dependency graph service for asset references

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p1,estimate/m,has-dependencies,committed","Sprint 3"
"Editor-027: Asset diagnostic badges (dirty/stale/error/missing deps)","Backlog ID: Editor-027
Priority: P1
Estimate: S
Dependencies: Editor-022, Editor-026
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Asset diagnostic badges (dirty/stale/error/missing deps)

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p1,estimate/s,has-dependencies,committed","Sprint 3"
"Editor-028: Prefab asset schema and serialization adapters","Backlog ID: Editor-028
Priority: P1
Estimate: L
Dependencies: Editor-011, Editor-021
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Prefab asset schema and serialization adapters

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p1,estimate/l,has-dependencies,committed","Sprint 3"
"Editor-029: Prefab instantiate/apply/revert overrides workflows","Backlog ID: Editor-029
Priority: P1
Estimate: L
Dependencies: Editor-028, Editor-019
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Prefab instantiate/apply/revert overrides workflows

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p1,estimate/l,has-dependencies,committed","Sprint 3"
"Editor-030: Prefab variant chains with override conflict UI","Backlog ID: Editor-030
Priority: P1
Estimate: L
Dependencies: Editor-029
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Prefab variant chains with override conflict UI

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p1,estimate/l,has-dependencies,stretch","Sprint 3"
"Editor-031: Scene save/load deterministic round-trip validator","Backlog ID: Editor-031
Priority: P1
Estimate: M
Dependencies: Editor-011, Editor-019
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Scene save/load deterministic round-trip validator

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p1,estimate/m,has-dependencies,committed","Sprint 3"
"Editor-032: Autosave checkpoints and dirty-state tracking","Backlog ID: Editor-032
Priority: P1
Estimate: M
Dependencies: Editor-010, Editor-031
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Autosave checkpoints and dirty-state tracking

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p1,estimate/m,has-dependencies,committed","Sprint 3"
"Editor-033: PIE world clone/snapshot-restore orchestration","Backlog ID: Editor-033
Priority: P1
Estimate: L
Dependencies: Editor-002, Editor-031
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
PIE world clone/snapshot-restore orchestration

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p1,estimate/l,has-dependencies,committed","Sprint 4"
"Editor-034: PIE toolbar controls (play/pause/step/timescale)","Backlog ID: Editor-034
Priority: P1
Estimate: S
Dependencies: Editor-006, Editor-033
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
PIE toolbar controls (play/pause/step/timescale)

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p1,estimate/s,has-dependencies,committed","Sprint 4"
"Editor-035: Bridge runtime selection and editor selection in PIE","Backlog ID: Editor-035
Priority: P1
Estimate: M
Dependencies: Editor-014, Editor-033
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Bridge runtime selection and editor selection in PIE

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p1,estimate/m,has-dependencies,committed","Sprint 4"
"Editor-036: Live entity/component debug inspector in PIE","Backlog ID: Editor-036
Priority: P1
Estimate: M
Dependencies: Editor-012, Editor-033
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Live entity/component debug inspector in PIE

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p1,estimate/m,has-dependencies,committed","Sprint 4"
"Editor-037: Script console panel and watch expressions","Backlog ID: Editor-037
Priority: P1
Estimate: M
Dependencies: Editor-006, Editor-033
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Script console panel and watch expressions

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p1,estimate/m,has-dependencies,stretch","Sprint 4"
"Editor-038: Event trace panel with filtering and bookmarking","Backlog ID: Editor-038
Priority: P1
Estimate: M
Dependencies: Editor-006, Editor-033
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Event trace panel with filtering and bookmarking

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p1,estimate/m,has-dependencies,stretch","Sprint 4"
"Editor-039: CPU timeline profiler panel integration","Backlog ID: Editor-039
Priority: P1
Estimate: M
Dependencies: Editor-006
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
CPU timeline profiler panel integration

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p1,estimate/m,has-dependencies,committed","Sprint 4"
"Editor-040: GPU timeline profiler panel integration","Backlog ID: Editor-040
Priority: P1
Estimate: M
Dependencies: Editor-039
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
GPU timeline profiler panel integration

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p1,estimate/m,has-dependencies,committed","Sprint 4"
"Editor-041: Viewport render debug modes (buffers, IDs, overdraw)","Backlog ID: Editor-041
Priority: P1
Estimate: M
Dependencies: Editor-015
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Viewport render debug modes (buffers, IDs, overdraw)

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p1,estimate/m,has-dependencies,stretch","Sprint 4"
"Editor-042: Capture/export profiler sessions and baseline diff","Backlog ID: Editor-042
Priority: P1
Estimate: M
Dependencies: Editor-039, Editor-040
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Capture/export profiler sessions and baseline diff

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p1,estimate/m,has-dependencies,committed","Sprint 4"
"Editor-043: Crash detection + recovery bootstrap on next launch","Backlog ID: Editor-043
Priority: P2
Estimate: M
Dependencies: Editor-032
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Crash detection + recovery bootstrap on next launch

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p2,estimate/m,has-dependencies,committed","Sprint 4"
"Editor-044: Recovery UI for checkpoint/session restore selection","Backlog ID: Editor-044
Priority: P2
Estimate: S
Dependencies: Editor-043
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Recovery UI for checkpoint/session restore selection

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p2,estimate/s,has-dependencies,committed","Sprint 4"
"Editor-045: Plugin API v1 (versioning, capabilities, lifecycle)","Backlog ID: Editor-045
Priority: P2
Estimate: L
Dependencies: Editor-002, Editor-006
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Plugin API v1 (versioning, capabilities, lifecycle)

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p2,estimate/l,has-dependencies,stretch","Sprint 4"
"Editor-046: Dynamic panel/tool plugin loading and sandbox guards","Backlog ID: Editor-046
Priority: P2
Estimate: L
Dependencies: Editor-045
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Dynamic panel/tool plugin loading and sandbox guards

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p2,estimate/l,has-dependencies,stretch","Sprint 4"
"Editor-047: Source control status integration (Git file state overlays)","Backlog ID: Editor-047
Priority: P2
Estimate: M
Dependencies: Editor-021, Editor-022
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Source control status integration (Git file state overlays)

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p2,estimate/m,has-dependencies,committed","Sprint 4"
"Editor-048: Structured diff/merge hooks for scene/prefab assets","Backlog ID: Editor-048
Priority: P2
Estimate: L
Dependencies: Editor-028, Editor-047
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Structured diff/merge hooks for scene/prefab assets

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p2,estimate/l,has-dependencies,stretch","Sprint 4"
"Editor-049: Pre-commit validation runner and UX surfaced in editor","Backlog ID: Editor-049
Priority: P2
Estimate: M
Dependencies: Editor-031, Editor-047
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Pre-commit validation runner and UX surfaced in editor

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p2,estimate/m,has-dependencies,committed","Sprint 4"
"Editor-050: Long-session soak automation and E1-E5 acceptance checklist","Backlog ID: Editor-050
Priority: P2
Estimate: M
Dependencies: Editor-032, Editor-042, Editor-044
Source: Phase 8.18 in frolicking-tumbling-pond.md

Description:
Long-session soak automation and E1-E5 acceptance checklist

Done When:
- [ ] Implemented in editor/runtime codebase
- [ ] Covered by automated test(s) or validation harness where applicable
- [ ] Documented in editor module notes/changelog
- [ ] Accepted against sprint exit criteria","area/editor,phase/8,priority/p2,estimate/m,has-dependencies,committed","Sprint 4"
